year,pat1,pat2,pat3,pat4,pat5,pat6,pat7,pat8,pat9,pat10,pat11,pat12,pat13,pat14,pat15,pat16
1967,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1968,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1978,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1979,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1980,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1985,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1986,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
1987,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0
1988,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,1
1989,0,0,0,2,0,0,0,3,0,3,1,2,0,0,0,0
1990,0,0,0,0,0,0,0,3,0,6,0,5,0,0,0,1
1991,0,0,0,0,0,0,0,2,0,2,0,6,0,0,0,1
1992,0,0,0,0,0,0,0,0,0,6,1,4,0,0,0,0
1993,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
1994,0,0,0,0,0,0,0,0,0,3,1,5,0,0,0,1
1995,0,0,3,0,0,0,0,1,0,4,0,5,0,0,2,0
1996,0,0,1,0,0,0,0,0,0,2,0,10,0,0,1,3
1997,0,0,4,0,2,0,0,1,0,1,4,6,0,0,1,1
1998,0,0,5,0,4,0,0,2,0,2,2,1,0,3,0,2
1999,0,0,0,1,2,0,0,2,0,2,1,5,1,1,0,5
2000,0,0,2,0,2,0,0,2,0,3,2,3,2,2,1,1
2001,0,0,1,0,9,0,0,4,0,3,5,3,4,1,1,7
2002,0,0,7,0,10,0,0,12,0,0,5,4,2,6,2,17
2003,0,0,1,3,13,0,0,10,0,4,4,3,2,3,2,15
2004,0,0,13,12,9,0,0,10,0,6,1,7,1,2,3,16
2005,0,0,10,32,9,0,0,6,0,2,2,16,0,7,2,20
2006,0,0,8,27,17,1,0,16,0,1,2,2,0,11,6,21
2007,0,0,3,17,7,2,0,16,0,0,2,5,3,29,4,23
2008,0,0,11,21,11,3,0,22,0,2,1,3,0,21,2,19
2009,0,0,11,25,17,3,0,21,0,3,5,4,0,37,4,19
2010,0,13,12,16,8,6,0,30,0,1,7,6,0,50,2,15
2011,1,21,15,9,10,6,0,24,0,2,6,6,1,34,7,13
2012,0,29,22,14,7,9,0,16,0,0,8,1,3,35,3,15
2013,0,33,14,14,13,15,0,29,0,3,9,9,4,32,22,22
2014,1,37,18,17,17,32,5,20,1,0,14,11,6,30,11,17
2015,0,33,22,16,24,26,14,14,3,10,7,17,16,21,10,22
2016,1,27,29,8,51,30,28,34,2,11,13,15,22,24,17,32
2017,3,35,24,7,41,51,37,17,13,23,10,19,33,28,16,22
2018,14,32,28,18,35,41,57,26,34,22,15,21,57,25,12,32
2019,25,38,41,18,17,40,39,20,66,56,35,30,70,22,17,18
2020,56,34,30,17,43,55,66,31,65,70,37,40,62,15,25,23
2021,84,48,35,35,33,34,75,26,74,60,54,41,50,23,34,14
2022,94,36,43,26,36,57,74,29,99,64,76,50,54,10,25,23
2023,98,31,37,51,22,39,48,18,72,42,56,46,38,8,19,11
2024,85,26,32,59,26,32,49,20,43,44,71,43,30,11,21,19
2025,38,27,18,29,5,18,8,7,28,34,40,30,39,5,21,29
