year,pub11,pub12,pub13,pub14
1905,0,0,0,1
1906,0,0,0,0
1907,0,0,0,0
1908,0,0,0,0
1909,0,0,0,0
1910,0,0,0,0
1911,0,0,0,0
1912,0,0,0,0
1913,0,0,0,0
1914,0,0,0,0
1915,0,0,0,0
1916,0,0,0,0
1917,0,0,0,0
1918,0,0,0,0
1919,0,0,0,0
1920,0,0,0,0
1921,0,0,0,0
1922,0,0,0,0
1923,0,0,0,0
1924,0,0,0,0
1925,0,0,0,0
1926,0,0,0,0
1927,0,0,0,0
1928,0,0,0,0
1929,0,0,0,0
1930,0,0,0,0
1931,0,0,0,0
1932,0,0,0,0
1933,0,0,0,0
1934,0,0,0,0
1935,0,0,0,0
1936,0,0,0,0
1937,0,0,0,0
1938,0,0,0,0
1939,0,0,0,0
1940,0,0,0,0
1941,0,0,0,0
1942,0,0,0,0
1943,0,0,0,0
1944,0,0,0,0
1945,0,0,0,0
1946,0,0,0,0
1947,0,0,0,0
1948,0,0,0,0
1949,0,0,0,0
1950,0,0,0,0
1951,0,0,0,0
1952,0,0,0,0
1953,0,0,0,0
1954,0,0,0,0
1955,0,0,0,0
1956,0,0,0,0
1957,0,0,0,0
1958,0,1,0,0
1959,0,0,0,0
1960,0,0,0,0
1961,0,0,0,0
1962,0,0,0,0
1963,0,1,0,0
1964,0,0,0,0
1965,0,0,0,0
1966,0,0,0,0
1967,0,0,0,0
1968,0,0,0,0
1969,0,0,0,0
1970,0,0,0,0
1971,0,0,0,0
1972,0,0,0,0
1973,0,0,0,0
1974,0,0,0,0
1975,0,0,0,0
1976,0,0,0,0
1977,0,0,0,0
1978,0,0,0,0
1979,0,0,0,0
1980,0,1,0,0
1981,0,1,0,0
1982,0,1,0,0
1983,0,1,0,1
1984,0,0,0,0
1985,0,1,0,0
1986,0,1,0,0
1987,0,1,0,0
1988,0,0,0,0
1989,0,0,0,0
1990,0,0,0,0
1991,0,0,0,0
1992,0,0,0,0
1993,0,2,0,0
1994,0,3,0,0
1995,0,6,0,2
1996,0,7,0,7
1997,0,3,0,2
1998,0,11,0,6
1999,0,6,0,9
2000,1,10,0,10
2001,3,11,0,7
2002,6,7,0,15
2003,13,12,0,13
2004,17,13,0,9
2005,18,19,0,13
2006,33,17,0,17
2007,28,15,0,11
2008,27,11,2,20
2009,28,17,10,12
2010,31,17,11,17
2011,28,15,18,18
2012,19,21,25,21
2013,30,15,33,19
2014,18,13,43,16
2015,19,18,48,14
2016,28,23,43,13
2017,25,22,32,34
2018,26,25,45,28
2019,25,33,43,27
2020,27,22,42,27
2021,19,29,44,25
2022,21,30,35,29
2023,13,23,29,29
2024,9,29,46,30
2025,12,18,40,10
